,symbol,metric,value
0,MMM,Previous Close,172.64
1,MMM,Open,172.99
2,MMM,Bid,174.51 x 900
3,MMM,Ask,174.91 x 1800
4,MMM,Day's Range,172.78 - 175.62
5,MMM,52 Week Range,163.38 - 208.95
6,MMM,Volume,"1,651,820"
7,MMM,Avg. Volume,"2,336,822"
8,MMM,Market Cap,100.827B
9,MMM,Beta (5Y Monthly),0.95
10,MMM,PE Ratio (TTM),17.30
11,MMM,EPS (TTM),10.11
12,MMM,Earnings Date,"Jan 24, 2022 - Jan 28, 2022"
13,MMM,Forward Dividend & Yield,5.92 (3.38%)
14,MMM,Ex-Dividend Date,"Nov 18, 2021"
15,MMM,1y Target Est,186.84
16,ABT,Previous Close,138.99
17,ABT,Open,139.65
18,ABT,Bid,139.25 x 800
19,ABT,Ask,142.00 x 1400
20,ABT,Day's Range,138.72 - 140.23
21,ABT,52 Week Range,105.36 - 140.23
22,ABT,Volume,"3,492,052"
23,ABT,Avg. Volume,"5,480,611"
24,ABT,Market Cap,246.075B
25,ABT,Beta (5Y Monthly),0.69
26,ABT,PE Ratio (TTM),34.53
27,ABT,EPS (TTM),4.03
28,ABT,Earnings Date,"Jan 25, 2022 - Jan 31, 2022"
29,ABT,Forward Dividend & Yield,1.88 (1.35%)
30,ABT,Ex-Dividend Date,"Jan 13, 2022"
31,ABT,1y Target Est,141.87
32,ABBV,Previous Close,132.05
33,ABBV,Open,132.33
34,ABBV,Bid,133.00 x 900
35,ABBV,Ask,133.50 x 1200
36,ABBV,Day's Range,132.17 - 133.77
37,ABBV,52 Week Range,101.81 - 133.77
38,ABBV,Volume,"5,702,267"
39,ABBV,Avg. Volume,"6,338,742"
40,ABBV,Market Cap,235.287B
41,ABBV,Beta (5Y Monthly),0.79
42,ABBV,PE Ratio (TTM),31.72
43,ABBV,EPS (TTM),4.20
44,ABBV,Earnings Date,"Feb 01, 2022 - Feb 07, 2022"
45,ABBV,Forward Dividend & Yield,5.64 (4.24%)
46,ABBV,Ex-Dividend Date,"Jan 13, 2022"
47,ABBV,1y Target Est,132.97
48,ABMD,Previous Close,343.40
49,ABMD,Open,343.88
50,ABMD,Bid,298.00 x 1400
51,ABMD,Ask,370.00 x 800
52,ABMD,Day's Range,341.84 - 353.43
53,ABMD,52 Week Range,261.27 - 387.40
54,ABMD,Volume,"215,211"
55,ABMD,Avg. Volume,"241,380"
56,ABMD,Market Cap,16.025B
57,ABMD,Beta (5Y Monthly),1.27
58,ABMD,PE Ratio (TTM),108.14
59,ABMD,EPS (TTM),3.26
60,ABMD,Earnings Date,"Jan 26, 2022 - Jan 31, 2022"
61,ABMD,Forward Dividend & Yield,N/A (N/A)
62,ABMD,Ex-Dividend Date,N/A
63,ABMD,1y Target Est,379.80
64,ACN,Previous Close,403.69
65,ACN,Open,402.30
66,ACN,Bid,404.15 x 3100
67,ACN,Ask,404.37 x 900
68,ACN,Day's Range,400.96 - 406.85
69,ACN,52 Week Range,241.73 - 413.65
70,ACN,Volume,"1,325,012"
71,ACN,Avg. Volume,"2,155,433"
72,ACN,Market Cap,255.097B
73,ACN,Beta (5Y Monthly),1.13
74,ACN,PE Ratio (TTM),41.95
75,ACN,EPS (TTM),9.61
76,ACN,Earnings Date,"Mar 17, 2022"
77,ACN,Forward Dividend & Yield,3.88 (0.96%)
78,ACN,Ex-Dividend Date,"Jan 12, 2022"
79,ACN,1y Target Est,N/A
80,ATVI,Previous Close,64.10
81,ATVI,Open,64.01
82,ATVI,Bid,64.08 x 800
83,ATVI,Ask,65.16 x 1400
84,ATVI,Day's Range,63.85 - 65.39
85,ATVI,52 Week Range,56.40 - 104.53
86,ATVI,Volume,"8,721,730"
87,ATVI,Avg. Volume,"11,177,450"
88,ATVI,Market Cap,50.752B
89,ATVI,Beta (5Y Monthly),0.67
90,ATVI,PE Ratio (TTM),19.33
91,ATVI,EPS (TTM),3.37
92,ATVI,Earnings Date,"Feb 02, 2022 - Feb 07, 2022"
93,ATVI,Forward Dividend & Yield,0.47 (0.72%)
94,ATVI,Ex-Dividend Date,"Apr 14, 2021"
95,ATVI,1y Target Est,92.47
96,ADBE,Previous Close,563.98
97,ADBE,Open,568.96
98,ADBE,Bid,569.00 x 1400
99,ADBE,Ask,570.99 x 1100
100,ADBE,Day's Range,566.16 - 572.57
101,ADBE,52 Week Range,420.78 - 699.54
102,ADBE,Volume,"2,147,722"
103,ADBE,Avg. Volume,"2,807,788"
104,ADBE,Market Cap,271.025B
105,ADBE,Beta (5Y Monthly),1.06
106,ADBE,PE Ratio (TTM),56.85
107,ADBE,EPS (TTM),10.02
108,ADBE,Earnings Date,"Mar 21, 2022 - Mar 25, 2022"
109,ADBE,Forward Dividend & Yield,N/A (N/A)
110,ADBE,Ex-Dividend Date,"Mar 24, 2005"
111,ADBE,1y Target Est,671.75
112,AMD,Previous Close,143.88
113,AMD,Open,143.89
114,AMD,Bid,145.88 x 800
115,AMD,Ask,145.92 x 800
116,AMD,Day's Range,143.85 - 149.02
117,AMD,52 Week Range,72.50 - 164.46
118,AMD,Volume,"48,653,691"
119,AMD,Avg. Volume,"54,891,160"
120,AMD,Market Cap,176.48B
121,AMD,Beta (5Y Monthly),1.93
122,AMD,PE Ratio (TTM),45.08
123,AMD,EPS (TTM),3.24
124,AMD,Earnings Date,"Jan 24, 2022 - Jan 28, 2022"
125,AMD,Forward Dividend & Yield,N/A (N/A)
126,AMD,Ex-Dividend Date,"Apr 27, 1995"
127,AMD,1y Target Est,142.50
128,AAP,Previous Close,232.79
129,AAP,Open,234.00
130,AAP,Bid,226.99 x 1000
131,AAP,Ask,234.14 x 1300
132,AAP,Day's Range,232.00 - 234.41
133,AAP,52 Week Range,143.15 - 243.05
134,AAP,Volume,"492,798"
135,AAP,Avg. Volume,"639,004"
136,AAP,Market Cap,14.475B
137,AAP,Beta (5Y Monthly),1.26
138,AAP,PE Ratio (TTM),23.64
